name	file	type	size	planetsize	y_scale	yoffset	b-yoffset	inverted	smooth	operation	
AlnLegacy_Hub	AlnLegacy_Hub	png	351, 303	2,3,4,5	1.1, 1.1	-90	0	false	0	add	
AlnLegacy_Proximity	AlnLegacy_Proximity	png	801, 801	2,3,4,5	0.5, 0.5	0	1	false	0	add	
AlnLegacy_Scar	AlnLegacy_Scar	png	250, 245	2,3,4,5	0.32, 0.32	275	2	false	0	sub	
											
# 'GroundShape' Globals	----------------------										
GroundShape_4_ADD	GroundShape_4	raw	833, 777	2,3,4,5	0.20, 0.28	-109	500	false	0	add	
GroundShape_2_ADD	GroundShape_2	raw	1065, 993	4,5	0.4, 0.5	-100	500	false	0	add	
											
# Flat biome placer	----------------------										
Explosion_01	Explosion_01	png	100, 100	2,3,4,5	0.015, 0.015	-1	1	false	0	add	
Explosion_01b	Explosion_01b	png	250, 259	2,3,4,5	0.015, 0.015	-1	1	false	0	add	
											
# Starter Biome Stamps:	----------------------										
Starter_1	Starter_1	png	200, 200	2,3,4,5	0.4, 0.4	-35	0	false	3	max	
Starter_2	Starter_2	png	200, 200	2,3,4,5	0.3, 0.3	0	0	false	3	max	
Starter_3	Starter_3	png	200, 200	2,3,4,5	0.3, 0.3	0	2	false	3	max	
StarterGroves_1	StarterGroves_1	png	143, 119	2,3,4,5	0.001, 0.001	-2	0	true	0	add	
StarterHighGrass_1	StarterHighGrass_1	png	171, 170	2,3,4,5	0.001, 0.001	-2	0	false	0	add	
MountainPlateau_01b	MountainPlateau_01b	png	120, 115	2,3,4,5	0.19, 0.19	-180	10	false	0	add	
StarterGroves_2	StarterGroves_2	png	373, 326	2,3,4,5	0.001, 0.001	-2	0	true	0	add	
Starter_5_crater	Starter_5_crater	png	7,7	2,3,4,5	0.0035, 0.0035	0	1	false	1	add	
Starter_5_base	Starter_5_base	png	201, 201	2,3,4,5	0.2, 0.2	0	38	false	0	add	
Starter_5_area	Starter_5_area	png	31, 31	2,3,4,5	0.0035, 0.0035	-2	0	false	0	add	
											
# Low quality	----------------------										
Volcano_1	Volcano_1	png	300, 300	3,4,5	0.9, 1	-40	25	false	3	max	
											
# New - MoonStarter											
MicroDunes_01	MicroDunes_01	png	9, 9	2,3,4,5	0.0085, 0.0085	0	1	false	2	add	
BiomePixel_01	BiomePixel_01	png	3, 3	2,3,4,5	0.004, 0.004	0	0	false	0	add	
MicroHill_01b	MicroHill_01b	png	9, 8	2,3,4,5	0.01, 0.01	0	2	false	0	add	
MountainSavanna_01	MountainSavanna_01	png	41,44	2,3,4,5	0.23, 0.23	-200	0	false	0	max	
MountainStyle_01	MountainStyle_01	png	60, 50	2,3,4,5	0.4, 0.55	-50	0	false	0	max	
WaterFjords_01	WaterFjords_01	png	227, 256	2,3,4,5	0.055, 0.06	0	350	false	7	sub	
Starter_6_base	Starter_6_base	png	70, 71	2,3,4,5	0.16, 0.16	-180	7	false	0	add	
											
# (New variants, see list)											
# CliffPlate_02_BML											
# Valley_3_LO_BML											
# IceBergs_01_BML											
# Flats_1a_HI											
# Mountain_15a_R											
# Mountain_15a_R_LO											
IceGraben_SM_LO_BM	IceGraben	png	300, 300	2,3,4,5	0.05, 0.05	180	600	false	7	sub	
											
											
											
											
											
											
											
											
